the_geom,cartodb_id,socrata_id,on_street_name,cross_street_name,date_time,latitude,longitude,borough,zip_code,crash_count,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,number_of_pedestrian_injured,number_of_pedestrian_killed,number_of_persons_injured,number_of_persons_killed,contributing_factors,vehicle_types
0101000020E61000000612143FC67952C0F357C85C196C4440,2276475,3886477,WEBSTER AVENUE,,2018-04-23 22:38:00+00,40.844524,-73.902725,Bronx,,1,0,1,0,0,0,0,0,1,"Driver Inattention/Distraction,Unspecified","SPORT UTILITY / STATION WAGON,BICYCLE"
0101000020E610000073124A5F087F52C02C0E677E355D4440,2032081,3645566,1 AVENUE,,2017-04-05 07:19:00+00,40.728195,-73.984886,Manhattan,10009,1,0,1,0,0,0,0,0,1,"Passing or Lane Usage Improper,Unspecified",BICYCLE
0101000020E6100000EA95B20C717C52C0650113B8755B4440,2182345,3814211,METROPOLITAN AVENUE,,2017-12-19 11:50:00+00,40.71453,-73.9444,Brooklyn,,1,0,1,0,0,0,0,0,1,"Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified","BICYCLE,DS"
0101000020E61000003677F4BF5C7B52C0452BF702B3564440,2091113,3709467,ATLANTIC AVENUE,,2017-07-11 17:49:00+00,40.677338,-73.927536,Brooklyn,11233,1,0,1,0,0,0,0,0,1,"Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified","BICYCLE,SPORT UTILITY / STATION WAGON"
,1988441,3472763,GRAND STREET,,2016-07-02 02:07:00+00,,,Brooklyn,,1,0,1,0,0,0,0,0,1,"Unspecified,Unspecified","PASSENGER VEHICLE,BICYCLE"
,2182554,3812359,48 STREET,,2017-12-18 07:47:00+00,,,Queens,11378,1,0,1,0,0,0,0,0,1,"Failure to Yield Right-of-Way,Unspecified",BICYCLE
0101000020E610000001F73C7FDA7E52C08B6CE7FBA9634440,2144875,3768601,BROADWAY,,2017-10-10 22:16:00+00,40.778625,-73.982086,Manhattan,,1,0,1,0,0,0,0,0,1,"Other Vehicular,Other Vehicular","DS,BICYCLE"
0101000020E61000003946B247A87F52C0878153C48E624440,1938178,3580453,WEST 55 STREET,12 AVENUE,2016-12-15 06:48:00+00,40.7699819,-73.994646,Manhattan,10019,1,0,1,0,0,0,0,0,1,"Failure to Yield Right-of-Way,Passing or Lane Usage Improper",BICYCLE
0101000020E61000009C508880437552C03BAA9A20EA6A4440,2214992,3638938,EAST TREMONT AVENUE,,2016-06-11 00:42:00+00,40.83527,-73.832245,Bronx,,1,0,1,0,0,0,0,0,1,"Unspecified,Unspecified,Unspecified","BICYCLE,SPORT UTILITY / STATION WAGON"
0101000020E6100000B9196EC0E77D52C0001E51A1BA4D4440,2117212,3742517,QUENTIN ROAD,,2017-09-01 18:17:00+00,40.607258,-73.96727,Brooklyn,11223,1,0,1,0,0,0,0,0,1,"Unsafe Speed,Traffic Control Disregarded","PASSENGER VEHICLE,BICYCLE"
